CALC-PI,L1D_READ_ACCESS,L1D_WRITE_ACCESS,L1D_READ_REFILL,L1D_WRITE_REFILL,L2D_READ_ACCESS,L2D_WRITE_ACCESS
100000000,3600278163,1800511181,1277,130,14726,1390
100000000,3600032388,1800017016,985,111,13606,1088
100000000,3600027480,1800015141,611,46,10697,651
100000000,3600027137,1800014841,610,48,10952,647
100000000,3600028713,1800015606,853,57,12161,898
