CALC-PI,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
100000000,9287,5614235840,437,5402399407,10895,1368
100000000,8951,5600108311,180,5400044797,9856,1560
100000000,8548,5600102590,134,5400042712,9022,874
100000000,8622,5600100191,195,5400042043,9207,930
100000000,8773,5600110333,154,5400044608,9207,1017
