DHRYSTONE,L1D_READ_ACCESS,L1D_WRITE_ACCESS,L1D_READ_REFILL,L1D_WRITE_REFILL,L2D_READ_ACCESS,L2D_WRITE_ACCESS
10000000,4150729049,2363884522,3195,2894,17474419,6083
10000000,4200820482,2398091432,3449,3074,16994547,6505
10000000,4161549411,2380097209,2442,2518,15983961,4973
10000000,4149126734,2364457634,2439,2492,15866472,4964
10000000,4125440967,2348807103,2362,2384,14723990,4770
