SUMAS-FPU,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,CPU_CYCLES
1000,26226,27263,4010,5344,38296
1000,24634,25227,4010,4487,33141
1000,24634,25084,4010,4440,32200
1000,24634,25105,4010,4447,32220
1000,24634,25121,4010,4445,32653
