DIV-ALU,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
1000,139,7672,71,13246,323,45
1000,93,6539,25,12309,161,5
1000,96,6467,18,12302,146,6
1000,110,6513,19,12319,163,3
1000,98,6509,21,12312,150,2
