MULT-ALU,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,CPU_CYCLES
1000,26230,27332,2006,5370,28961
1000,24638,25146,2006,4450,22409
1000,24638,24995,2006,4382,22261
1000,24638,25040,2006,4408,22564
1000,24638,24976,2006,4386,22064
