CALC-PRIME,L2D_READ_REFILL,L2D_WRITE_REFILL
3000,156,1
3000,26,0
3000,5,1
3000,4,1
3000,0,0
3000,2,1
9500,156,7
9500,10,0
9500,7,1
9500,6,1
9500,5,0
9500,6,1
40000,170,3
40000,15,0
40000,11,3
40000,0,1
40000,9,0
40000,5,1
250000,448,29
250000,27,0
250000,44,1
250000,19,3
250000,43,0
250000,43,3
1000000,520,19
1000000,131,6
1000000,166,5
1000000,77,2
1000000,113,2
1000000,120,4
