DHRYSTONE,L2D_READ_REFILL,L2D_WRITE_REFILL
30000,152,11
30000,13,0
30000,5,1
30000,10,1
30000,2,1
30000,6,1
80000,156,9
80000,27,0
80000,1,1
80000,1,0
80000,0,1
80000,1,1
400000,184,9
400000,22,0
400000,13,1
400000,6,0
400000,0,1
400000,5,1
200000,189,13
200000,2,0
200000,8,1
200000,1,0
200000,6,1
200000,4,1
10000000,492,38
10000000,37,2
10000000,121,2
10000000,36,0
10000000,36,2
10000000,48,4
