CALC-PI,L2D_READ_REFILL,L2D_WRITE_REFILL
300000,335,7
300000,51,1
300000,17,1
300000,0,0
300000,4,1
300000,18,0
905000,340,2
905000,20,1
905000,0,1
905000,8,0
905000,3,1
905000,6,0
4000000,286,6
4000000,234,14
4000000,19,1
4000000,5,0
4000000,6,1
4000000,11,0
25000000,372,9
25000000,64,1
25000000,40,1
25000000,17,0
25000000,89,1
25000000,33,0
100000000,520,43
100000000,99,1
100000000,75,9
100000000,44,0
100000000,34,1
100000000,38,0
