DIV-FPU,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,CPU_CYCLES
1000,24226,25546,2006,5541,34316
1000,22634,23059,2006,4416,28168
1000,22634,22993,2006,4387,27989
1000,22634,22908,2006,4351,28285
1000,22634,23075,2006,4430,28151
