SOLOMAIN,INST_RETIRED,INST_SPEC_EXEC,INST_SPEC_EXEC_VFP,INST_SPEC_EXEC_INTEGER_INST,CPU_CYCLES
1,2216,3649,0,1528,8081
1,624,922,0,368,2091
1,624,955,0,396,2007
1,624,912,0,370,1950
1,624,971,0,412,2290
