MULT-FPU,L1D_READ_ACCESS,L1D_WRITE_ACCESS,L1D_READ_REFILL,L1D_WRITE_REFILL,L2D_READ_ACCESS,L2D_WRITE_ACCESS
1000,1402,846,151,16,655,177
1000,296,184,43,5,284,48
1000,292,181,33,7,277,40
1000,295,183,44,7,285,51
1000,297,185,39,12,271,51
