MULT-ALU,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
1000,123,1837,74,1492,334,55
1000,94,743,20,592,154,2
1000,86,693,43,607,194,6
1000,80,645,17,589,136,3
1000,89,611,30,588,167,9
