SUMAS-FPU,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
1000,129,9473,83,15148,342,51
1000,93,8560,14,14319,145,3
1000,91,8519,27,14325,151,2
1000,104,8563,22,14337,166,14
1000,91,8492,20,14315,143,4
