DIV-FPU,L1D_READ_ACCESS,L1D_WRITE_ACCESS,L1D_READ_REFILL,L1D_WRITE_REFILL,L2D_READ_ACCESS,L2D_WRITE_ACCESS
1000,8736,4464,54,7,281,61
1000,8186,4122,20,5,135,25
1000,8188,4120,15,3,120,18
1000,8192,4124,12,3,113,15
1000,8202,4140,13,5,121,18
