MULT-FPU,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
1000,428,3357,278,2113,1332,287
1000,199,943,37,467,313,34
1000,207,833,46,452,323,10
1000,203,843,40,456,301,0
1000,201,839,33,453,293,6
