SOLOMAIN,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
1,121,1440,36,1130,221,45
1,84,536,19,296,140,1
1,85,460,15,295,129,3
1,78,396,15,280,126,0
1,86,412,25,283,148,4
