WHETSTONE,L2D_READ_REFILL,L2D_WRITE_REFILL
300,756,3
300,161,0
300,90,1
300,32,1
300,25,0
300,35,1
5500,1125,5
5500,142,0
5500,140,1
5500,83,1
5500,86,0
5500,107,3
40000,1101,11
40000,744,2
40000,488,16
40000,615,1
40000,415,6
40000,559,2
65000,1264,23
65000,524,9
65000,483,10
65000,656,3
65000,468,7
65000,804,16
200000,1351,18
200000,698,5
200000,785,16
200000,797,5
200000,943,11
200000,1061,15
