MEM-COPY,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
1000,130,9873,284,15321,1096,290
1000,96,8762,227,14391,750,35
1000,87,8680,220,14387,771,20
1000,85,8633,219,14380,757,23
1000,95,8689,225,14389,703,13
