SUMAS-FPU,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
1000,123,9667,73,15224,338,45
1000,81,8648,32,14351,169,5
1000,97,8625,31,14343,186,9
1000,90,8671,28,14333,156,10
1000,83,8616,16,14330,129,4
