MEM-COPY,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
1000,165,16292,146,15062,833,295
1000,93,14847,52,14269,675,118
1000,98,14785,93,14268,758,28
1000,87,14853,98,14268,759,18
1000,101,14847,72,14268,692,9
