MEM-ACCESS,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
1000,171,19184,78,14061,541,152
1000,98,17725,48,13269,395,36
1000,97,17740,39,13269,395,8
1000,103,17758,52,13272,409,6
1000,96,17707,46,13269,392,1
