SUMAS-ALU,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
1000,179,16233,51,15060,281,39
1000,85,14816,12,14270,109,5
1000,84,14790,14,14270,111,3
1000,86,14784,25,14271,138,6
1000,94,14737,17,14269,126,3
