DIV-FPU,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
1000,181,14196,42,13061,267,46
1000,97,12736,28,12267,155,14
1000,89,12823,25,12269,139,5
1000,95,12780,37,12269,169,5
1000,106,12831,26,12268,152,4
