CALC-PRIME,L1I_CACHE_REFILL,L1I_CACHE_ACCESS,L1D_CACHE_REFILL,L1D_CACHE_ACCESS,L2D_CACHE_ACCESS,L2D_CACHE_REFILL
1000000,10174,16965018173,22650,16744097754,68469,3739
1000000,8800,16947373495,22493,16749952717,67453,3978
1000000,11504,16938202118,22445,16747473418,73031,11293
1000000,8540,16957714379,22348,16749391445,66526,3977
1000000,9887,16919020435,22265,16745493490,68398,6682
