CALC-PRIME,L1D_READ_ACCESS,L1D_WRITE_ACCESS,L1D_READ_REFILL,L1D_WRITE_REFILL,L2D_READ_ACCESS,L2D_WRITE_ACCESS
1000000,11548778142,4572322536,18931059,9236177,28207175,28166367
1000000,11550952034,4593112219,18941989,9170592,28159103,28111710
1000000,11550848995,4592075597,18939644,9172955,28153273,28111795
1000000,11553272656,4595030250,18940290,9172912,28153183,28112382
1000000,11554747433,4597255938,18941094,9171329,28157093,28111605
